source,property_id,rescrape_url,sqft_hint,fair_value_hint
foxtons,chpk1688071,https://www.foxtons.co.uk/properties-to-rent/london/chpk1688071,565,2661
knightfrank,spl012503530,https://www.knightfrank.co.uk/properties/residential/to-let/property/spl012503530,7701,18656
chestertons,21377982_SVL230576,https://www.chestertons.co.uk/properties/21377982/lettings/SVL230576,,4986
chestertons,21377933_SVL250205,https://www.chestertons.co.uk/properties/21377933/lettings/SVL250205,,3869
chestertons,21377941_SVL250285,https://www.chestertons.co.uk/properties/21377941/lettings/SVL250285,,3869
knightfrank,skq012589273,https://www.knightfrank.co.uk/properties/residential/to-let/property/skq012589273,777,4144
chestertons,21378688_KYC240041,https://www.chestertons.co.uk/properties/21378688/lettings/KYC240041,,6205
chestertons,21378685_FCL250268,https://www.chestertons.co.uk/properties/21378685/lettings/FCL250268,1745,6256
chestertons,21378681_KYC240206,https://www.chestertons.co.uk/properties/21378681/lettings/KYC240206,2702,9037
foxtons,chpk3674137,https://www.foxtons.co.uk/properties-to-rent/london/chpk3674137,318,2350
foxtons,chpk2283858,https://www.foxtons.co.uk/properties-to-rent/london/chpk2283858,1198,4986
foxtons,chpk0029972,https://www.foxtons.co.uk/properties-to-rent/london/chpk0029972,858,4396
foxtons,kncl0182818,https://www.foxtons.co.uk/properties-to-rent/london/kncl0182818,1054,4989
foxtons,chpk1257120,https://www.foxtons.co.uk/properties-to-rent/london/chpk1257120,681,3033
foxtons,chpk3398360,https://www.foxtons.co.uk/properties-to-rent/london/chpk3398360,179,2008
foxtons,chpk5683777,https://www.foxtons.co.uk/properties-to-rent/london/chpk5683777,140,2319
foxtons,chpk1910083,https://www.foxtons.co.uk/properties-to-rent/london/chpk1910083,623,2942
chestertons,21375163_PTL150014,https://www.chestertons.co.uk/properties/21375163/lettings/PTL150014,1974,7448
savills,gbssresll250139l,https://search.savills.com/property-detail/gbssresll250139l,1280,7140
savills,gbwprewsl260007l,https://search.savills.com/property-detail/gbwprewsl260007l,317,3348
savills,gblsrecel200131l,https://search.savills.com/property-detail/gblsrecel200131l,197,2156
savills,gblsrecel120258l,https://search.savills.com/property-detail/gblsrecel120258l,257,2188
savills,gblsrecel230139l,https://search.savills.com/property-detail/gblsrecel230139l,2586,9846
savills,gbkbreknl210124l,https://search.savills.com/property-detail/gbkbreknl210124l,731,3992
savills,gbwprewsl260003l,https://search.savills.com/property-detail/gbwprewsl260003l,1121,6958
chestertons,21349773_CSL260003,https://www.chestertons.co.uk/properties/21349773/lettings/CSL260003,557,2363
knightfrank,knq012406773,https://www.knightfrank.co.uk/properties/residential/to-let/property/knq012406773,1411,6393
knightfrank,wlq012680130,https://www.knightfrank.co.uk/properties/residential/to-let/property/wlq012680130,,3340
knightfrank,knq012628550,https://www.knightfrank.co.uk/properties/residential/to-let/property/knq012628550,674,3799
knightfrank,flq012501927,https://www.knightfrank.co.uk/properties/residential/to-let/property/flq012501927,1612,4705
knightfrank,skq012505527,https://www.knightfrank.co.uk/properties/residential/to-let/property/skq012505527,2212,7275
knightfrank,haq012518589,https://www.knightfrank.co.uk/properties/residential/to-let/property/haq012518589,914,4914
knightfrank,maq012594881,https://www.knightfrank.co.uk/properties/residential/to-let/property/maq012594881,1729,6503
knightfrank,skq012599358,https://www.knightfrank.co.uk/properties/residential/to-let/property/skq012599358,1514,5339
knightfrank,wlq012545363,https://www.knightfrank.co.uk/properties/residential/to-let/property/wlq012545363,,4808
knightfrank,wlq012582814,https://www.knightfrank.co.uk/properties/residential/to-let/property/wlq012582814,823,4800
chestertons,21376894_KEL220028,https://www.chestertons.co.uk/properties/21376894/lettings/KEL220028,1221,7210
chestertons,21356275_KEL070022,https://www.chestertons.co.uk/properties/21356275/lettings/KEL070022,1346,6277
chestertons,21348102_KEL250058,https://www.chestertons.co.uk/properties/21348102/lettings/KEL250058,600,3572
