address,postcode,source,price_pcm,size_sqft,bedrooms,bathrooms,url,ppsf,district,tier_num,tier,location_score,size_score,ppsf_score,comp_score
"Belgrave Mews North, Belgrave Square, SW1X",SW1X,rightmove,10000,1320,2,2.0,https://www.rightmove.co.uk/properties/165690518#/?channel=RES_LET,7.575757575757576,SW1X,2,Tier 2: SW1 Area,80,48.47560975609756,38.634241575418045,83.55492566575779
"St Barnabas Street, Belgravia, SW1W",SW1W,rightmove,6998,1222,2,2.0,https://www.rightmove.co.uk/properties/169910762#/?channel=RES_LET,5.726677577741407,SW1W,1,Tier 1: Same District,100,32.85060975609756,34.183764504165,83.51718713013128
"Park Mansions, SW1X",SW1X,rightmove,9316,1216,2,2.0,https://www.rightmove.co.uk/properties/168433802#/?channel=RES_LET,7.661184210526316,SW1X,2,Tier 2: SW1 Area,80,31.70731707317074,37.37844611528822,74.54288159422948
SW1X 0HB,SW1X 0HB,savills,6717,1342,2,3.0,https://search.savills.com/property-detail/gbkbreknl120021l,5.00521609538003,SW1X,2,Tier 2: SW1 Area,80,44.28353658536586,23.578078623401673,73.93080760438376
"Victoria Street, SW1H 0EU",SW1H 0EU,savills,6998,1356,2,2.0,https://search.savills.com/property-detail/gbwprewsl160070l,5.160766961651918,SW1H,2,Tier 2: SW1 Area,80,41.61585365853659,25.864719929269647,73.74028679390312
"Cadogan Pier, Cheyne Walk, London, SW3",SW3,knightfrank,8666,1305,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/cadogan-pier-cheyne-walk-london-sw3/knq012557491,6.640613026819923,SW3,3,Tier 3: Prime Central,50,48.666158536585364,47.61887160994666,73.14251507326601
"Fordie House, 82 Sloane Street, SW1X",SW1X,rightmove,7475,1161,2,2.0,https://www.rightmove.co.uk/properties/169422272#/?channel=RES_LET,6.438415159345392,SW1X,2,Tier 2: SW1 Area,80,21.227134146341463,44.64650632001293,72.9368202331772
82 Sloane Street London SW1X,SW1X,rightmove,7475,1148,2,2.0,https://www.rightmove.co.uk/properties/169454906#/?channel=RES_LET,6.5113240418118465,SW1X,2,Tier 2: SW1 Area,80,18.75,45.718287314925966,72.23414365746298
"Lyall Street, Belgravia, London, SW1X",SW1X,rightmove,6066,1330,2,2.0,https://www.rightmove.co.uk/properties/164596484#/?channel=RES_LET,4.560902255639098,SW1X,2,Tier 2: SW1 Area,80,46.57012195121951,17.04654072155178,71.80833133638563
Knightsbridge Knightsbridge SW1X,SW1X,rightmove,7500,1125,2,2.0,https://www.rightmove.co.uk/properties/169737494#/?channel=RES_LET,6.666666666666667,SW1X,2,Tier 2: SW1 Area,80,14.367378048780493,48.00186741363212,71.1846227312063
"Park Mansions, Knightsbridge, London, SW1X",SW1X,knightfrank,7496,1120,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/park-mansions-knightsbridge-london-sw1x/pod012527128,6.692857142857143,SW1X,2,Tier 2: SW1 Area,80,13.41463414634147,48.38687474989996,70.90075444812072
"Harrogate House, Sloane Square, Chelsea, London, SW1W",SW1W,knightfrank,6933,1460,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/harrogate-house-sloane-square-chelsea-london-sw1w/knq012529897,4.748630136986302,SW1W,1,Tier 1: Same District,100,21.79878048780488,19.80619316219639,70.80248682500063
"Gerald Road, Belgravia, London, SW1W",SW1W,knightfrank,7995,1505,2,2.0,https://www.knightfrank.co.uk/properties/residential/to-let/gerald-road-belgravia-london-sw1w/beq012523486,5.312292358803987,SW1W,1,Tier 1: Same District,100,13.22408536585366,28.0921857114939,70.65813553867378
SW1X 7QS,SW1X 7QS,savills,7497,1115,2,2.0,https://search.savills.com/property-detail/gbkbrecli164156l,6.723766816143498,SW1X,2,Tier 2: SW1 Area,80,12.46189024390244,48.841255605381164,70.65157292464181
"Ranelagh Grove, London, SW1W",SW1W,knightfrank,4983,1381,2,3.0,https://www.knightfrank.co.uk/properties/residential/to-let/ranelagh-grove-london-sw1w/beq012510800,3.608254887762491,SW1W,1,Tier 1: Same District,100,36.85213414634146,3.042357565763454,69.94724585605246
"Mansfield Street, Marylebone, London, W1G",W1G,knightfrank,8450,1253,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/mansfield-street-marylebone-london-w1g/mrq012521554,6.743814844373504,W1G,3,Tier 3: Prime Central,50,38.75762195121951,49.13596723605644,68.94679459363797
